1.000000000000000000e+00 1.000000000000000000e+00 2.367402054369449615e-02 7.176025211811065674e-02
2.000000000000000000e+00 2.000000000000000000e+00 2.733064442873001099e-02 8.277731388807296753e-02
3.000000000000000000e+00 3.000000000000000000e+00 1.750871539115905762e-02 5.255769193172454834e-02
4.000000000000000000e+00 4.000000000000000000e+00 8.435248397290706635e-03 2.540262788534164429e-02
5.000000000000000000e+00 5.000000000000000000e+00 5.706911906599998474e-03 1.743725501000881195e-02
6.000000000000000000e+00 6.000000000000000000e+00 5.282704718410968781e-03 1.614733971655368805e-02
7.000000000000000000e+00 7.000000000000000000e+00 5.114084109663963318e-03 1.557698193937540054e-02
8.000000000000000000e+00 8.000000000000000000e+00 4.891209769994020462e-03 1.487844903022050858e-02
9.000000000000000000e+00 9.000000000000000000e+00 4.712338559329509735e-03 1.436051726341247559e-02
1.000000000000000000e+01 1.000000000000000000e+01 4.516011103987693787e-03 1.380969583988189697e-02
1.100000000000000000e+01 1.100000000000000000e+01 4.289950244128704071e-03 1.316769048571586609e-02
1.200000000000000000e+01 1.200000000000000000e+01 4.213985055685043335e-03 1.295086741447448730e-02
1.300000000000000000e+01 1.300000000000000000e+01 4.134912043809890747e-03 1.270750444382429123e-02
1.400000000000000000e+01 1.400000000000000000e+01 4.077622201293706894e-03 1.252802368253469467e-02
1.500000000000000000e+01 1.500000000000000000e+01 4.025480709969997406e-03 1.236402243375778198e-02
1.600000000000000000e+01 1.600000000000000000e+01 3.916369751095771790e-03 1.203196682035923004e-02
1.700000000000000000e+01 1.700000000000000000e+01 3.808822017163038254e-03 1.171092782169580460e-02
1.800000000000000000e+01 1.800000000000000000e+01 3.727423027157783508e-03 1.146962493658065796e-02
1.900000000000000000e+01 1.900000000000000000e+01 3.660983871668577194e-03 1.128234807401895523e-02
2.000000000000000000e+01 2.000000000000000000e+01 3.609815146774053574e-03 1.115272939205169678e-02
2.100000000000000000e+01 2.100000000000000000e+01 3.554566064849495888e-03 1.101444102823734283e-02
2.200000000000000000e+01 2.200000000000000000e+01 3.488291054964065552e-03 1.084233634173870087e-02
2.300000000000000000e+01 2.300000000000000000e+01 3.432999132201075554e-03 1.069767586886882782e-02
2.400000000000000000e+01 2.400000000000000000e+01 3.377355169504880905e-03 1.054508425295352936e-02
